name,address,type,google_url,photo_url,map_url
Platt Park Union,"1288 South Broadway, Denver",point of interest,https://www.google.com/maps/place/?q=place_id:ChIJUahLifl_bIcRFCISUJyagWU,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3llEGn17fF4Gwdxx74Gfy2qrKSLUTgJDcWWNwmZWaCRISwDWm4HG8RZQ7VrBhx28k-wgCnX43AdIPs24JO-KLhsVA49Ru3_TCvqxI2LgkhfYSP7B3QJQ58s9rmj6S5VUKCnGgwMe6A7ZieYyHPT9AgKYQ39Y0QdTel5z4-rS-TZ5ZXAXNXh5vx46g_I0iC2vcwqEfxumWQv4zuVC3bMY08H1R1xrRDz05cw0siuWkcowsdQLTXWQ9nYiZTZ4FhvnAghcQ43j7f_tOP-gISscVp34bbeFJiwiQ1c0ElV5gl3J1F0bDFiiQ7OzxeVDF-6GbinUqADIMEAGlbBedCwmLfC7pHssXKj-8qi-73NfyPKXm6St59CVvqJvcBS0PmZh9Fg6TAXiMZiQ48Rong6muzk67T-VVuAqBxW5V2PB8vFPZ7YVYZSou07KDUYaOZEn5fhoxO5Lytb--yZ3P6reIfgqKrc5xW3z4rH41YKYeGLtCK5m4Cj3g8rvhZZVnhMeiZZjnVuF6Ih8dS0RCdpn6yzZJauxM4dIjW4Gwafqwb7KDoRG4H3Uhn1ey5JnYB6xxivGbDu2ci7EL21HAJ7sBUMTuQmbcNZNJGwpRsDLqHsJFdxRA_ARq2hmW0&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.69355449999999,-104.9871239&zoom=17&size=400x300&markers=color:red%7C39.69355449999999,-104.9871239&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Lucky's Superette Denver,"1288 South Broadway, Denver",cafe | store | point of interest | food,https://www.google.com/maps/place/?q=place_id:ChIJ72ucj41_bIcROAJgWSzp3fQ,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3mfYvbtpJSpzT6169fDkRUD0kkwemklUsscGGkJv_C_h7QVsMDW_fhHZ-AdFrLUKfy5JVjrICME_ydUHNtWveYldqKc6-GcLN-VkWSl4ihQk_WcRkSxhImp6_E-Vw481k5gz9YfvLjNee0cp819M9CKbJtDZwFpQnyqGa3ZCbeM1zXtvZu5nkGiyeM6ZR7jWQPmr88aANQOYEhWBWtJh9lSOZINY7DvcjKGnpQagA-sDZ1dKaoqcA6rm0Ozyp0Kse6F9s1P3njQgmMk1zy90RXWTX0LI8y0N7KSJcMO3uT1I-B1Vax68Z7uCbfqdZaZ1l04NMVnjDLGjTyk3FIPMeO2VXJK43Lm_PK-YEmhr7LFht4k6jkz_nay3MkbaoRB_D6Y2Mn1UU5tv0q92JZnJZlccNRDq6ovuBVDXkMNKAvJm1yNN0AoG4X8CGQtdIky6ST417sxZdDARnXGnjMEv9oRQzmyjA0s7JZvlmAhYH22THdl6nqOYVKBFRaGuAaAqC7ehSvtV5wbeGo2xx7baix2V7oNSc57XcIYXYFp4NLSKcun1mtPFlhKj5ULM2sFJPM2SBQt7C1VLaEmxG4mhIhxwWhhWg9I23KOhAI5FK7e0s37HP3JBKRl7wmX6CWDtLHy_ne5&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.69355449999999,-104.9871239&zoom=17&size=400x300&markers=color:red%7C39.69355449999999,-104.9871239&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
303 Boards The Annex,"1288 South Broadway, Denver",store | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJEWMgsed_bIcRJxVEV7Qz5Gw,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3lpy8CBItXhc-mdzu2-mx6S6tD3b7jv8mJC_U9pBmP-fCYxBEb4TmiZbumluMHNEhCzFWgFTxJz2qdQo0OBIMZc-5ifrOMF5FtskBYs7KMxixu_SH-fnw0DdKDowqoeR2eVjM0utNGcSTzlydtPckosrzkOfjQXCRwPYmsKVUWwjxkf8FuZjs_qH3GNrP1sZ2HSwuKvVhbcLHB8K7fe-St7ibyr49wr5jgega24a_QdBsf6FPe_Fli-iOrXBowr9t70ufibSttIWzUibVfpYXaEt2dWiT_LwJqu3qJ8SKLO4hMLyfsu8bMx4Fx_BvBD1iYC6aefcTd5ovR3VWFCADvfcsnuvxw6hbP2PsIKuvnE-UjsQ57lO41yS-n59X3usYKK9xfFWhBykz6k0Rg0hdV7IvoLIEYz8D5_X3SPbLziAlgWyQLX5sd-BXptWvmyiYe5cJa7uIlunmZALpP-6mI7EUkIBH4L3KJ169TXcOUSHHRWxJjBo3HlckW3mdybe0_hpxryvzR3_dky1_HORbsjDdyeFDWxDBPv5DU30b_gtJQkpyaL2tz9eYg7Kr2mSOPeJmsElFl3d6_WEguLucuKQsf7LF1DoI-uSSJz_hYb2YhE8xkGoYkOSO4pPL9PJ5bob5rU&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.69355449999999,-104.9871239&zoom=17&size=400x300&markers=color:red%7C39.69355449999999,-104.9871239&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Rapid Transit Mover's,"1290 South Broadway, Denver",point of interest,https://www.google.com/maps/place/?q=place_id:ChIJ39he92N_bIcRhQC_ypSEv1Q,,"https://maps.googleapis.com/maps/api/staticmap?center=39.6933943,-104.9871437&zoom=17&size=400x300&markers=color:red%7C39.6933943,-104.9871437&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Monolith Brewing,"1290 South Broadway, Denver",bar | restaurant | food | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJwekEBL1_bIcRLp_XjCL2l-A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3kGnQViSSLdHACnToGcRmLR2IkVOl2th7oOkwO6YqTqKighPnQ_sSYdEdad2Y2fZ5NqlGN0XQ-z73QHTonjMOmEdaN1YE8mUqey8P2hbFx6FqCh0FBxgSAjHTPeMq_mi-1lCqr3Pl6QZsTfSVgLGDrI3-W1vy7g05pTXzz8HG_33CoLOa0ZePC7nUSd99Lz50vz1_0rvR6sEic58Q2lpIiZAeQPufKCoGCO_bSPcBFo028_yyHyxR5TuvNn-wHTpvr5LyCq4ZHSTFyLyMWiqGt4b50cr81FralHU_Ck83T-xSxy-_gbn6eTpKvtdXzyfp3RqGxDsVSgZ90CAkKwMxUiEsdjOfGGS5yxO2OhpZdBJEYE6YeTvzOSClH-Pbo_G8mEtIL3GCzRJTg42HbExkpoeKczGST35RosHrALMam2CWGfMrAOPLbIxKgkrXJazwsGvnDRp19jE7vVtD6AIzL6zNzJd__Wi9s0ey_R2IJwdiUKjUCj0cI8Gu6RsCMt0pCmjBpIAzhl3ngcDHR7pKG09c2hEDQYR43gJijQFGUtpCGYG7ygn_pUHTgStJ-uUCX_S2VHFlZg39w2R_4-LKTBhu6GZNGyeapmmolnI2TqEFsgDdGKafGlWUTGCBbKl3x4_Q&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.6933943,-104.9871437&zoom=17&size=400x300&markers=color:red%7C39.6933943,-104.9871437&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Dive Inn,"1380 South Broadway, Denver",bar | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJG2Wo6qx_bIcR8nhR3rYBwLY,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3nHrmQiCICuWg6rLo4TAXJhejqg3rKZEk1RxHkzt6h1KRXmm3-O0EMzKWGeejbjyUoQgt9mGnqUdhyv_pTwyPjLJs_G-QCJtfBKRXkta_OLMcL7I6vLoHTp7PV7-YvbNO9UC9AkG7NbOAq-qz4V4-XeU8BsjwLbB0_M-hdCfZxxYAyNJhXifFptGabzzXpXNjc-ONA_vgNbRAEG0sNSTXor8LgO3V4gJlt1gczr9Zzz-2VEkiGvsR8J2F4tg_FYaRktf6TGDHLs-wVxH7dVBiGf7qkdFpqhzDSayB9UM7_ElVpzSlQ4wT0tJ6rk1Vjis_RqS7ebKaWM_cAP8ewPKYN112MvgOk-KbUaCxtYYy411fT8Xy0AipJQ2iGHOsjdQALlLDDOKiqFdYbTsty6hjUYy8R73y1afj_TAP6wQTUTgGU5lB_TFQwOcXkZGnIRV0axWH6eiR7qXSDzFdfz0DySsKxO6QuRQE0F__pfHwRNG9WIaoxroSdjjv1NolIWNgjjZAj-XXe7Cqz6LqYDUEpf8hYa9gg8JWMxXOvplhUbGanM4nwXaqhUpkAjOV11hfTdmhYN3wPLHfLjoD4c0ac56foalVlJoj0kDN31zqFd4s-LQpzsWBrlcvt6EGtW_4Zvmg&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.6914512,-104.9871106&zoom=17&size=400x300&markers=color:red%7C39.6914512,-104.9871106&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
"Luv Bridal, Denver","1361 South Broadway, Denver",clothing store | store | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJqZc9jqx_bIcRadepYaoTSCs,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3ngpaWCkwn2pdEP5aOSrvnmje0hd68bwCJICAHM2U-GQet5-UlZVe-L6lwOOm7WJh5is2GmJEEEe_uDM7p3yvhhcUM4njz9dnxzr0HjPjSOeAIQAHT6Egz025fzKJ1hN6KC8ITMt2XZuWWzuQ5cemQUf80zIGbqMcj3RtTN79RRp32W6weiyIwEvQxD5Zeqxy8h6r_hVT0jdkC0pSOmwrSd3Yp-iLmNtOGZyq8OTNtJPO504UJMT9gh77k6ic_DED5WnWgA_fzsrhku_LrN4wpasCWV6h2lSyijmetOjKi00_xNvQM53LV09MtKyeG9ZdrZz3q_5KwupDQv6sZ_ItQt4o48TrctEWE1Z05BFYUwkBWNnN7GfIpG-CnVPG3WTA9ruw1esEYr7uc3fMitf7Qqh8L7n4gy1Evcbv3OSVIRblzDy2WT7ZgYiH2wiR0sP3oGSckMbz3ijtWYtrwyLs3Hki3NLYG_Ho9HQVB0QGTBAjHlGcqUrUaWWJQ9qyEU9jo51CDRndNjmXpvBWcQ2CuTWj7SEPqlLpNE2FAxD8-mwdgnr35yNWgbLTB9qxxhjnDLMKh340SzSBPRW_B0WdMxKmJRGcn4P6XYQyBTfJMKhdetZpYkF9wLINUpNcQ_FGQIRg&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.6917311,-104.9876898&zoom=17&size=400x300&markers=color:red%7C39.6917311,-104.9876898&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Cluck Chicken,"1384 South Broadway, Denver",meal takeaway | restaurant | food | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJdbGe6qx_bIcRDoyq4hKERtE,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3lXDJkkPbaM8qT8hM97ha3-rw-a-TKQp_-1qvmnNAQn0RL4r9wHRoxKi4NJ5owkinuPVEnxC-vOnDJpbe1jZVmtQjmprsnZwLnr3gcmUiVvdr1W1RKpda_owPkLiaeQ0Ryk0RrBHdJhrSI96e_NVRe_Q2KZnFxIe7aYPZNG3eg8ZheYhOMA0ZH-4lKyR9xqOfpeW5KB3n2Pnhthas7cJbyiqMCnGYTTk9f6OTC3w-TfTD5wkhzzmc4fCMegJMf0yrwpTiRS4ah1RaBEf9VvDtxKZFoX5AJMjTTt2Y2N533GNM91wrC7YgNIEn2LZ9sIjc3zkRRabjQsdYMYt_bTYf-zo5Kp0wqKdKBfu9BJFu7_GQkjBW81ves0V4JlzBByqr9MEfoWnZN_FBzWLRzshKgiUHxokjxGUyC_nsn-fCROyhjOvi8Axwl55HpkjBqfxW9BWFbTtNaOOMh8Ob7xTKrwZPN49ACGLDV-b0K6UY8eW4jKhCSmnr4fbE5CuII8a1zhATs9XZeIhki4tXgFCtbbzispR5pxBxAYHwXa9XnX3KPx7K7gICdyV5qh-Kd9qq7lgpZfBiF9kpSYL_WFDdHswh3iggSVlLJ0tVcWIQktDOyH3R8dWopnPHT7KNZzXJpi_vXQFH2k6nn3aZ268n-eqQs&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.69139450000001,-104.9871817&zoom=17&size=400x300&markers=color:red%7C39.69139450000001,-104.9871817&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Platt Park Appliance Repair Services,"1432 Broadway, Denver",general contractor | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJ9eIX-Vi0VogRC9ZjFW7btHU,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3nkQpSrKViSZq1Piwx6aOs25zKbM75qdy2w-nnKT5JherBn2x-8QKCbg-Ofk4PHwXwA6PC6orh860LIDcUKbP1LyC2i68D_bpZQ1JgMokV24rxv41PiGMEhSUZW34csZN49iMz5n_GU-vhjnVLoJ-ZbuSoiYxFCLuWNscP2JKKdZW3LXyAVOiaGnDTLLVS_uFvRiSjhTaKrQ9LYeGCNn-mQC57J-gfEtqeH0KqWzrUduky8mKj_vUnce2XRRSr2MHodDzf5y9OeDdmC5g7StSnFdG3c0Ao8MhdL4gHqxLBGzZhtiGu_hfLpH7N2362pyH4tpPxy7USEKtHk2flgHXyY2xXibUb10YeVw7xz6gvCqxBy1e5-F2EkjfPlTpnWBVccfRRmCPzAgp9KYiGSfOEA3ppboeghi4XkssDp2_I96bWx1asOp3y67vlFdCtFbQ_5JrK-XMaBjHgW_Sr_P8-4S8aoQ6cFK62FnB5ocCTb1sdV-gF-LwW9HFwBR9H-4XevIuCJEFUdPkRy1cqhb4pgRZSjRMvWigZTE4fnKfK0hQ63hJPEJia7JdQBhi7TNUaSYZMlorvZuSyhcE9ichQ8GOPFNKng1BZ6LZ7phMnfeyCUY3lsltj3eO1UeshogIBntmcPNfBi3UBJHcw7lg&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.6905938,-104.9871479&zoom=17&size=400x300&markers=color:red%7C39.6905938,-104.9871479&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Flux Studio & Gallery LLC,"1423 South Broadway, Denver",point of interest,https://www.google.com/maps/place/?q=place_id:ChIJKYsUahF_bIcRTlgTxGEq1m4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3kdbQARgyw_Xa7LCyvjM4GcdrXrAZ6eoaJQmdcahiO6r8pFvP3H81jx5m4ltOPB9jtZXiEy76OONpNDkbJ4Qn7gYwJaE17zzWN3a0S87MNWgUZzmCHCKxFjLKP1bysFG_RF4GX6W2k0zLAPqP_F0kvtxBFuPj38opQT8dx8dqioGwDa5rQBVvQj73yuLc_ZU-sjrAmAP7vckE5S4klRYz0zBB72j6ld4BEEPNL5zvp3SIivCTptMtdfFfsnGl0yoWGgXYDWlXTSzASYmTBP7fULHSGXT9opaENqyfMIuwrhNPhJRc4Rzp5XrZ8bCuC93zaHLyeyFzB8OOUrIGosm8job5phU-d_CAgQXqKu71wUNhjPQearp4l0CEOU_PRVtYMJzNJ6AML5Piv6XsAQ91MRg9chw6wbA72p8VmSS7uWkzf0t75gyucCVsig--my9yoXqoKeAJzUxgwYfT-nue70MrwLeVGG6fTKGemMaajq_SCTThl-Q2l-75-KefrNfoqO7B9yQqV11YCdJzvGbBYcVUSfnTjZuxLDrOKLlsJygnDig3XIgMuyfk--2_1xuFgkAHJoLKtXc48_PAPXHe1L0veBANkWo-8JjwWY9OYnLnKphg9GivM9tEQ74yNsx7l4Hq0aaFAT5zWqVZib3231XvI&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.690656,-104.9878059&zoom=17&size=400x300&markers=color:red%7C39.690656,-104.9878059&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
La Chiva Colombian Cuisine,"1446 South Broadway, Denver",meal takeaway | meal delivery | restaurant | food | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJP_pl5ax_bIcRChgJqUzmmlk,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3n5vWP71miyASOrlg9nrMoqz7785qySs1jfLZNHJn_7WwFeEs338tU2jDY7Of7NXKWiwHJ9Bj049vG2wY3nXYXpGiUY8Z65ml8bqd480D5bvfFOSgqPyNDLjYenz569e3zMine5B_J8nqdcgCLkjRN_JXoWbMtwDKZWDot9mn1x6RldKAMh2Dx2kF_Em4X_suZJPr1FmlQxBzReE47UPcQOjMzwNONEesiLpbBJ7V_6_DoYc2wSlT-dWfgl045haoj0rk-_WhSaFXXdhtBtc9bCz684-IMPUb5dLqpshq9vz63OxM_U-f83h9dQz-fIkk0b9vaRXUcoFMKuCVA6L5FacrB4d1fUQM2kHz-p0qaLVMfrUE9nkNjlmRw8x0cACjQw-0YmJhrBRj1MADkasHJVQtHnRtX1MIlk-lK_gsv1Sse1km08F4zeyNyoYVJIRDrQJe0axzDQ8X3AZ4E2NgowTMlOsvDoixBwZdzb6mbL_SnoLR31OK2w1JDDwNywMHG1BJdj8pe2t_d9vhW0BmYcoMuvkf1N1RZu7S_fvITPdTDvo8jOgf9RpZOFdrOxnNsq62f5wxm2oImWH3Tv1YZFvWPT_sDG8Ke8-Jee4DGqIDSTsc5yQzQZdeVrDy3o6Nw45r65CNKUBfG97daF9jYVeOk&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.6903446,-104.9871436&zoom=17&size=400x300&markers=color:red%7C39.6903446,-104.9871436&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Azari Rug Gallery,"1410 South Broadway, Denver",laundry | furniture store | home goods store | point of interest | store,https://www.google.com/maps/place/?q=place_id:ChIJZQ9N76x_bIcRfhGv7W1na_4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3kp8TDeccbK1mIPaggXC8h2GwtPt1_U7bwLwidTbG4SFDgXYKWgtyI1IVi-I2sZqeAXwgq0JixMwWsvBpfhanDDW-QPU6L9tpJSA632vkIHcQl3JPMCZVHlAfZ_R0FvdEJFdd0NU6WnIfOHlGKZs5sr_6-U1JBhm-VEeYs_PZ2a_mhxO-IyTGz07Z3qGNg0Id0Ux9QERFsoi2quxTnGonOhMN2Azv7FLVnJHg2yCTZLxeRdA1Ptn9RnKkiD287qciNCxZc0OYLQ-aUun3NDbYfnvY1BuQgI3zXfm0w9SVvx-Jui2ImbiT0bWrtLIKzsqELktrZf5xRC_u9DE_T9rm8zmYQH6IS4e5qvNqJNXT1-rnTi0VYjbEwzvQ3J0ttm5MIu0LSo0UzgKWPgsExye0DaxJmBu5hCnzGgbdadJMww3IrSKmeYqLHQ27u0xQ5oon6dWPcWA4J1yv1gCqhtX83tDZ9LEDR-ORVE64TUdEj1ta77szO66oflF9pFmeYZJUQahkbej0-YYqWCnUbwnajcSAgatoZb2EQXpu6xJP-zjU2GCiGm_5USm0OIY1R5TRMOofTwN4d1UrCSWjPZTXKe_i2vRAdjT15_fAsanBckENH-LUOuPqOAHcxCiG06eP_jMYSr333n5OUEDGLrUA&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.69102,-104.987215&zoom=17&size=400x300&markers=color:red%7C39.69102,-104.987215&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Canary in a Clothesmine,"1448 South Broadway, Denver",clothing store | jewelry store | point of interest | store,https://www.google.com/maps/place/?q=place_id:ChIJQV7cH61_bIcRIZa1iQmPa7I,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3lvGFPq9ITyCTB5RLGGy0wdyU7OpWXa5Z2i0oGdN8gBD_zUiyEx0hFpi8OIlHLB7Xn6zxXEf8glF1WvRaqqCZG6r-9XgtfCunejdIPaW7NcPeCxy74ySpOpj2Xnr-e75RRigCvU4i_ZsEEsQx4wIv-RLrXr9QDbxokaqS9i_Cd5-F4H_7umStVU0eGSgm8sJVe3GGbri1Pu8ULS-y0n4JSlix88_8epYNyIPEknJcFN7mjda6h5itdxF6uae7IJeWhJb_tTSzqWTA5bdFQrdxOo918xUQDQE-M5Tr8btrGI46OL1dRRRYpu4y2ASP58IO6h0SSTo4YL9jnuxnQ3WQfS27yZy5TrXEu6SUn-8fRv7XCJCN8Ni2TUZozPsyO-bUVHadR9vIRBNMupXEM0Tpu386azxD-z3RCheQhQyW7c2KdrS46N9Jfc9do3nY66zmG6vOYp5qqeasKShO2gpDG6Z4krBwtDbeFbaOtmoEHI3GX6M49pHjEns3ldJPB7F9vY621Z_-N8jIcw6KsSVoOPSsu2G20VZaXILaenD_Z53VjH9Jizpmv7nasZCBJZSVwxKh1GChFlWhq2CKJ5Bm-6YE-zVqLgQYJtvlLS3oyMRdmlBuRMBvd-5ffxorFz&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.6902404,-104.9871864&zoom=17&size=400x300&markers=color:red%7C39.6902404,-104.9871864&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Fahrenheit's Books,"1415 South Broadway, Denver",book store | point of interest | store,https://www.google.com/maps/place/?q=place_id:ChIJDXUV2R1_bIcR8VUPn8-tO20,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3mMuiZQcNx8EylIWl2uS6PBjZVcZHNU4BdHOSvon7mv2y4nvv2mQXPA1CS_G2KyrtzZi6gXl0OzlA62w2MQUsMrikqdcMm_Y-vsZxKg0DikbgLXv6kNBqZA8dVQDNkETXvk6G1s9MNwsFyhcCC1PcpFdaXyy0ihGcJ_E25AusjSQhW91ML-OMF9jq96dnfj8JEh0MXtVLyqF38jmTjuc_Kp669S6QIsslZi26mllVBBLqNQRoE-cBVCpPXGZOR_dEZOBRPG7UVJdaiQhw2p41Zv_1OOC1ub073j4CIhTumIfSgh81PY__ZYP0khE8CfT1kuzPsDXk06qvCv5NIHEYnrLzK-Avz0WODKTy-6IXs6w-C4Z6GlFlF0J4hdeHfbkeC0yNQvhGgiypmLbgti4tYZ09V-elCQERbzkgzpsQjUJN0KVmq_vzAizBp4JeB58VeFXwGZqQGGHok2KZgMgwycAz7v8ZrsKUiyW7QxYUexBmprk27T7j19rhRPmbzrXVQTQlZz4HkhnN2zdDlYEeAiaDuDg-uIa1KNrMyuSKkTRq92JV1eHcWGS7hIfPSszUFTMYazS3TUs3KP2Rh7PtNg5X6nY70P2bkfFvYxXiRIAwAcLb8a2ZrJTZYrs6fll5SQgeak&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.6908353,-104.9877971&zoom=17&size=400x300&markers=color:red%7C39.6908353,-104.9877971&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Black Tulip Antiques Ltd,"1370 South Broadway, Denver",store | point of interest,https://www.google.com/maps/place/?q=place_id:ChIJYzBilax_bIcRw8B8W2te7aQ,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3kbMEPZOYhrpCvtntqJwPZUK6E2etgowcje2B9BAObvEQY9H67AqS9BERVwd1k3QxwKRY0G4OHnyBB5p2wBfmBxD8_g5uz-5-LP9yuLzZLZyks7_AUQvmwUMuOAc2hWGdajp-OiPwaVWeRrZgZXp-vIokreyER2lUdF_89iWbb7NYdFEKcOQ33SLcLXRNhBiNwed8BGroQeYvaXJMQ3EFWi2h-fXs9cI_8iz2ha9F7-Amws76aD2h2uDs5--et-jleOav50tI8KzbBMcsTwNfMeAhIq1YZJC5nHD172_85fdLwkRkcueI7URh2hqncs3Em9QoCgKvfrtWXQyp0LJ1wFDLfSlwn2NKAsJU4-jidaEvxpyf3KGmB9aBK-A3rsP7KUvPNDDfCcYPlkVN8e_0Ob-69WvktX0CxCrA35a2L8I-wWOxHo4YNMjraqIKRdFz49MOeAsuDquxEB8szmrqIEX9qkczpJsQY3F8Gjr3RcY34sGt3pw4pEcrqx1LU8EJ_S9aPhIAC7uCo62ZACF0DXPkBUWcpy7H2zvXzImHIo1i2-egjfdfbCUMAJWNnMGeGxTxUzAPTgWzu9b2CVVsvJzzEWJbSgNYExk0gW9LIsOSZgWXTdRlgcVkTbjG5K6b5T6Q&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.6916629,-104.9872707&zoom=17&size=400x300&markers=color:red%7C39.6916629,-104.9872707&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
Classical Piano Pathways,"1332 South Broadway, Denver",school | point of interest | store,https://www.google.com/maps/place/?q=place_id:ChIJQZAjonN_bIcRcMg6zdm0ZPs,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AaVGc3kObXAq_rHp8qJMI_2yWp_n-GFbumRIavd-ZIZjR_yGsSoh3Qw6H79VS3xf2qw2W6X1JV-CQBrX1biEwDPEqBzWHoUqusRNiuj7O8mO0yq8L2UHAm12wHpwsHic9ltm47PNqZ0ybMmQvE3F7HI2zYB8ZxgBG4UCHcrlmgVT0SHad6WYHNWC6VPyvfdgyyXt3WfzyVVkVH4mhOB14pnmwI-antj1JbUJQbfiHcN0J91w2gbYxLI3B6nmzzmPjsKi5fcbSS0EuxUjbiXFZG2ruCvhfjQLD5bK1qaRpL2G0U5xn2e7QfcbWWIVJUANX1-zjCDVcL74f6jspuWs8f01YTQZZxUGMu82LCKmygxTQF8nHG-V_l0_El8Htg8XzGfGgfBe7D6BVJrX5LIw80d59Xcr6ws--81Jzf8fxPH6bq0nOHEeR5Qb70QOGFuF-0YFYJrLzpdJeUn8tS4s3AR67foOQ-jPkPvK1tz65fryvIr0uYQe4kpaycbsPHZZvKkFFNsoZX5Wy7BMae4iegbmcr5EaWllwRmorUfYqIqR33-D6qRJ-fK7dqSEwHI4CNVIWc4GKnZl_FoYT_EMbGVQ0mHf1PmuIx_ArMe_VQzS9v654SRoSGBBBqf4dau1KV03KB7V2FTb_fbrqiFcPB9RYJzyZCw&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ,"https://maps.googleapis.com/maps/api/staticmap?center=39.6924567,-104.9871026&zoom=17&size=400x300&markers=color:red%7C39.6924567,-104.9871026&key=AIzaSyApEf__6yvyEUt8OIy4bEUdThYyepdJWEQ"
